,0,1,2,3,4
0,1º,8281,21,Touro,"LOOK - GOIÁS, 11h  1º ao 5º  "
1,2º,1259,15,Jacaré,"LOOK - GOIÁS, 11h  1º ao 5º  "
2,3º,0229,08,Camelo,"LOOK - GOIÁS, 11h  1º ao 5º  "
3,4º,2679,20,Perú,"LOOK - GOIÁS, 11h  1º ao 5º  "
4,5º,1807,02,Águia,"LOOK - GOIÁS, 11h  1º ao 5º  "
5,6º [soma],4255,,,"LOOK - GOIÁS, 11h  1º ao 5º  "
6,7º [mult],425,,,"LOOK - GOIÁS, 11h  1º ao 5º  "
7,"LOOK - GOIÁS, 11h  1º ao 5º  ",,,,
