,0,1,2,3,4
0,1º,5300,25,Vaca,"LOOK - GOIÁS, 16h  1º ao 5º  "
1,2º,4778,20,Perú,"LOOK - GOIÁS, 16h  1º ao 5º  "
2,3º,0985,22,Tigre,"LOOK - GOIÁS, 16h  1º ao 5º  "
3,4º,3116,04,Borboleta,"LOOK - GOIÁS, 16h  1º ao 5º  "
4,5º,2790,23,Urso,"LOOK - GOIÁS, 16h  1º ao 5º  "
5,6º [soma],6969,,,"LOOK - GOIÁS, 16h  1º ao 5º  "
6,7º [mult],323,,,"LOOK - GOIÁS, 16h  1º ao 5º  "
7,"LOOK - GOIÁS, 16h  1º ao 5º  ",,,,
