,0,1,2,3,4
0,1º,6431,08,Camelo,"LOOK - GOIÁS, 14h  1º ao 5º  "
1,2º,7240,10,Coelho,"LOOK - GOIÁS, 14h  1º ao 5º  "
2,3º,7734,09,Cobra,"LOOK - GOIÁS, 14h  1º ao 5º  "
3,4º,2533,09,Cobra,"LOOK - GOIÁS, 14h  1º ao 5º  "
4,5º,6116,04,Borboleta,"LOOK - GOIÁS, 14h  1º ao 5º  "
5,6º [soma],0054,,,"LOOK - GOIÁS, 14h  1º ao 5º  "
6,7º [mult],560,,,"LOOK - GOIÁS, 14h  1º ao 5º  "
7,"LOOK - GOIÁS, 14h  1º ao 5º  ",,,,
