,0,1,2,3,4
0,1º,9593,24,Veado,"DEU NO POSTE - RJ, 14:20, PT  1º ao 5º  "
1,2º,0564,16,Leão,"DEU NO POSTE - RJ, 14:20, PT  1º ao 5º  "
2,3º,3638,10,Coelho,"DEU NO POSTE - RJ, 14:20, PT  1º ao 5º  "
3,4º,1271,18,Porco,"DEU NO POSTE - RJ, 14:20, PT  1º ao 5º  "
4,5º,0974,19,Pavão,"DEU NO POSTE - RJ, 14:20, PT  1º ao 5º  "
5,6º [soma],6040,,,"DEU NO POSTE - RJ, 14:20, PT  1º ao 5º  "
6,7º [mult],410,,,"DEU NO POSTE - RJ, 14:20, PT  1º ao 5º  "
7,"DEU NO POSTE - RJ, 14:20, PT  1º ao 5º  ",,,,
