,0,1,2,3,4
0,1º,8281,21,Touro,"LOOK - GOIÁS, 11h  1º ao 10º  "
1,2º,1259,15,Jacaré,"LOOK - GOIÁS, 11h  1º ao 10º  "
2,3º,0229,08,Camelo,"LOOK - GOIÁS, 11h  1º ao 10º  "
3,4º,2679,20,Perú,"LOOK - GOIÁS, 11h  1º ao 10º  "
4,5º,1807,02,Águia,"LOOK - GOIÁS, 11h  1º ao 10º  "
5,6º,8102,01,Avestruz,"LOOK - GOIÁS, 11h  1º ao 10º  "
6,7º,2226,07,Carneiro,"LOOK - GOIÁS, 11h  1º ao 10º  "
7,8º,8527,07,Carneiro,"LOOK - GOIÁS, 11h  1º ao 10º  "
8,9º,1999,25,Vaca,"LOOK - GOIÁS, 11h  1º ao 10º  "
9,10º,5109,03,Burro,"LOOK - GOIÁS, 11h  1º ao 10º  "
10,"LOOK - GOIÁS, 11h  1º ao 10º  ",,,,
