,0,1,2,3,4
0,1º,5300,25,Vaca,"LOOK - GOIÁS, 16h  1º ao 10º  "
1,2º,4778,20,Perú,"LOOK - GOIÁS, 16h  1º ao 10º  "
2,3º,0985,22,Tigre,"LOOK - GOIÁS, 16h  1º ao 10º  "
3,4º,3116,04,Borboleta,"LOOK - GOIÁS, 16h  1º ao 10º  "
4,5º,2790,23,Urso,"LOOK - GOIÁS, 16h  1º ao 10º  "
5,6º,5403,01,Avestruz,"LOOK - GOIÁS, 16h  1º ao 10º  "
6,7º,3791,23,Urso,"LOOK - GOIÁS, 16h  1º ao 10º  "
7,8º,0781,21,Touro,"LOOK - GOIÁS, 16h  1º ao 10º  "
8,9º,0856,14,Gato,"LOOK - GOIÁS, 16h  1º ao 10º  "
9,10º,7800,25,Vaca,"LOOK - GOIÁS, 16h  1º ao 10º  "
10,"LOOK - GOIÁS, 16h  1º ao 10º  ",,,,
