,0,1,2,3,4
0,1º,4727,07,Carneiro,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 5º  "
1,2º,2769,18,Porco,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 5º  "
2,3º,1573,19,Pavão,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 5º  "
3,4º,8604,01,Avestruz,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 5º  "
4,5º,2535,09,Cobra,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 5º  "
5,6º [soma],0208,,,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 5º  "
6,7º [mult],089,,,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 5º  "
7,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 5º  ",,,,
