,0,1,2,3,4
0,1º,7967,17,Macaco,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 5º  "
1,2º,6411,03,Burro,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 5º  "
2,3º,2381,21,Touro,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 5º  "
3,4º,8375,19,Pavão,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 5º  "
4,5º,6608,02,Águia,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 5º  "
5,6º [soma],1742,,,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 5º  "
6,7º [mult],076,,,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 5º  "
7,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 5º  ",,,,
